"providerId","providerName","coverageType","coverageTargets","listingStatus","licenseOrCertificationNotes","officialApprovalSourceUrl","phone","email","siteUrl","listingSource","pageLabel","lastReviewed"
"castle-rock-kaizen","Kaizen Backflow LLC","utility","castle-rock-water","PUBLIC","Official Castle Rock certified backflow tester entry","https://www.crgov.com/DocumentCenter/View/29057/Backflow-Tester-List-2024-CL-PDF","720-403-0876","","","DIRECTORY","Officially listed on the Castle Rock tester PDF","2026-04-05"
"chandler-4-peaks","4 Peaks Fire Protection","utility","chandler-water","PUBLIC","Official Chandler approved testing company entry","https://www.chandleraz.gov/residents/water/water-quality/backflow-testing-companies","480-284-0468","","","DIRECTORY","Officially listed on the Chandler approved companies page","2026-04-05"
"chandler-aaa-backflow","AAA Backflow Testing & Repair LLC","utility","chandler-water","PUBLIC","Official Chandler approved testing company entry","https://www.chandleraz.gov/residents/water/water-quality/backflow-testing-companies","480-837-8206","","","DIRECTORY","Officially listed on the Chandler approved companies page","2026-04-05"
"chandler-american-backflow","American Backflow and Fire Prevention, Inc.","utility","chandler-water|mesa-water|scottsdale-water","PUBLIC","Official tester listed by Chandler and Mesa and also present on Scottsdale's utility tester roster.","https://www.scottsdaleaz.gov/docs/default-source/scottsdaleaz/water/water-operations/backflow-testers.pdf?sfvrsn=debc7310_5","480-630-1610","","","DIRECTORY","Officially listed across multiple Phoenix-area utility tester lists.","2026-04-05"
"cs-aaron-stuart","Aaron Stuart","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-587-1844","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-all-services","All Services Irrigation & Backflow","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-676-3067","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-american-fire","American Fire Protection Group Inc","utility","college-station-water","PUBLIC","Official College Station registered fireline and general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-690-0301","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-aqua-group","Aqua Backflow Group LLC","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-485-0100","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-backflow-testing-repair","Backflow Testing & Repair","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-215-1169","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-bulldog-backflow","Bulldog Backflow","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-324-3381","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"cs-central-texas","Central Texas Backflow","utility","college-station-water","PUBLIC","Official College Station registered general tester","https://www.cstx.gov/media/1hzno1mm/backflowpreventionassemblytesterlist.pdf","979-530-5300","","","DIRECTORY","Officially listed on the City of College Station tester PDF","2026-04-04"
"fort-collins-backflow-service","Fort Collins Backflow Service","utility","fort-collins-utilities","PUBLIC","Official Fort Collins certified backflow tester entry.","https://www.fcgov.com/utilities/backflow-testers","970-420-3782","fcbackflow@gmail.com","","DIRECTORY","Officially listed on the Fort Collins certified tester page.","2026-04-05"
"garland-backflow-preventer-test","Backflow Preventer Test","utility","garland-water","PUBLIC","Official Garland backflow tester listed by Garland Water Utilities","https://www.garlandtx.gov/DocumentCenter/View/2623/List-of-Backflow-Testers-PDF","817-705-0237","","","DIRECTORY","Officially listed on the Garland tester PDF","2026-04-04"
"garland-polk-mechanical","Polk Mechanical","utility","garland-water","PUBLIC","Official Garland backflow tester listed by Garland Water Utilities","https://www.garlandtx.gov/DocumentCenter/View/2623/List-of-Backflow-Testers-PDF","214-470-7737","","","DIRECTORY","Officially listed on the Garland tester PDF","2026-04-04"
"garland-quality-fire","Quality Automatic Fire Protection","utility","garland-water","PUBLIC","Official Garland backflow tester listed by Garland Water Utilities","https://www.garlandtx.gov/DocumentCenter/View/2623/List-of-Backflow-Testers-PDF","972-285-3200","","","DIRECTORY","Officially listed on the Garland tester PDF","2026-04-04"
"garland-ro-teck","Ro-Teck Backflow","utility","garland-water","PUBLIC","Official Garland backflow tester listed by Garland Water Utilities","https://www.garlandtx.gov/DocumentCenter/View/2623/List-of-Backflow-Testers-PDF","214-663-1547","","","DIRECTORY","Officially listed on the Garland tester PDF","2026-04-04"
"glendale-ap-fire","A P Fire Protection LLC","utility","glendale-water","PUBLIC","Official Glendale tester list entry","https://www.glendaleaz.com/UserFiles/Servers/Server_15209001/File/Departments/Water%20Services/Cross%20Connection%20Control/Backflow%20Tester%20List%205-5-2025.pdf","623-772-5344","","","DIRECTORY","Officially listed on the Glendale tester PDF","2026-04-05"
"glendale-dust-devil","Dust Devil Plumbing Inc","utility","glendale-water","PUBLIC","Official Glendale tester list entry","https://www.glendaleaz.com/UserFiles/Servers/Server_15209001/File/Departments/Water%20Services/Cross%20Connection%20Control/Backflow%20Tester%20List%205-5-2025.pdf","602-618-4043","","","DIRECTORY","Officially listed on the Glendale tester PDF","2026-04-05"
"greeley-troudt-plumbing","#1 Backflow by Troudt Plumbing","utility","greeley-water","PUBLIC","Official Greeley certified backflow tester entry.","https://greeleygov.com/docs/default-source/water/certified-backflow-testers.pdf","970-371-1569","TroudtPlumbing@yahoo.com","","DIRECTORY","Officially listed on the Greeley certified tester PDF.","2026-04-05"
"gptx-backflow-services","Grand Prairie Backflow Services","utility","gptx-water","HOLD","Commercial and irrigation backflow testing plus repair scheduling","https://www.gptx.org/government/city-departments/public-health-environmental-quality/cross-connection-control-prevention","972-555-0141","dispatch@gptxbackflow.example","https://gptxbackflow.example","DIRECT_SITE","Featured annual testing and repair listing","2026-04-04"
"irwd-american-backflow-services","American Backflow Services","utility","irwd-backflow","PUBLIC","Official IRWD backflow tester list entry from the district's convenience roster.","https://www.irwd.com/images/pdf/services/Backflow/IRWD_BACKFLOW_TESTER_LIST_9_25_25.pdf","714-875-3418","americanbackflowservices@aol.com","","DIRECTORY","Officially listed on IRWD's tester PDF.","2026-04-05"
"jea-bobs-backflow","Bob's Backflow & Plumbing Services","utility","jea-water","PUBLIC","Official JEA qualified backflow tester entry","https://www.jea.com/backflowvendors/","904-268-8009","","","DIRECTORY","Officially listed on the JEA qualified provider page","2026-04-05"
"jea-dolphin","Dolphin Backflow Prevention","utility","jea-water","PUBLIC","Official JEA qualified backflow tester entry","https://www.jea.com/backflowvendors/","904-269-5489","","","DIRECTORY","Officially listed on the JEA qualified provider page","2026-04-05"
"jea-fire-sprinkler","Fire Sprinkler Services","utility","jea-water","PUBLIC","Official JEA qualified backflow tester entry","https://www.jea.com/backflowvendors/","904-743-3220","","","DIRECTORY","Officially listed on the JEA qualified provider page","2026-04-05"
"marana-accurate","Accurate Backflow Testing & Repair","utility","marana-water","PUBLIC","Official Marana approved tester entry","https://www.maranaaz.gov/files/assets/cityofmarana/v/1/water/documents/approved-bf-tester-list-08.14.2024.pdf","520-742-0750","accuratebackflow@msn.com","","DIRECTORY","Officially listed on the Marana approved tester PDF","2026-04-05"
"marana-az-certified","Arizona Certified Testing","utility","marana-water","PUBLIC","Official Marana approved tester entry","https://www.maranaaz.gov/files/assets/cityofmarana/v/1/water/documents/approved-bf-tester-list-08.14.2024.pdf","520-378-6037","azcertifiedtesting@gmail.com","","DIRECTORY","Officially listed on the Marana approved tester PDF","2026-04-05"
"manatee-accurate-backflow-testing-pros","ACCURATE BACKFLOW TESTING PROS INC","utility","manatee-county-utilities","PUBLIC","Official Manatee County certified potable tester entry.","https://www.mymanatee.org/media/docs/default-source/utilities-documents/backflow-division-documents/potable-testers-1-1.pdf","941-518-6030","","","DIRECTORY","Officially listed on the Manatee County potable testers PDF.","2026-04-05"
"manatee-all-clear-backflow-services","ALL CLEAR BACKFLOW SERVICES","utility","manatee-county-utilities","PUBLIC","Official Manatee County certified potable tester entry.","https://www.mymanatee.org/media/docs/default-source/utilities-documents/backflow-division-documents/potable-testers-1-1.pdf","941-479-0850","","","DIRECTORY","Officially listed on the Manatee County potable testers PDF.","2026-04-05"
"manatee-green-coast-backflows","GREEN COAST BACKFLOWS, INC","utility","manatee-county-utilities","PUBLIC","Official Manatee County certified potable tester entry.","https://www.mymanatee.org/media/docs/default-source/utilities-documents/backflow-division-documents/potable-testers-1-1.pdf","941-310-2037","","","DIRECTORY","Officially listed on the Manatee County potable testers PDF.","2026-04-05"
"mesa-next-protection","Next Protection","utility","mesa-water","PUBLIC","Official Mesa tester list entry","https://www.mesaaz.gov/files/assets/public/v/1/utilities/water/backflow/backflow-general-tester-list.pdf","480-612-6600","","","DIRECTORY","Officially listed on the Mesa tester PDF","2026-04-04"
"mesquite-all-test","All Test Service Solutions","utility","mesquite-water","PUBLIC","Official Mesquite registered tester entry labeled as a fire line tester","https://www.cityofmesquite.com/DocumentCenter/View/196/View-the-Backflow-Testers-List","817-379-0856","","","DIRECTORY","Officially listed on the Mesquite tester PDF","2026-04-04"
"mesquite-american-fire-rikki","American Fire Protection Group","utility","mesquite-water","PUBLIC","Official Mesquite registered tester entry labeled as a fire line tester","https://www.cityofmesquite.com/DocumentCenter/View/196/View-the-Backflow-Testers-List","214-349-2221","","","DIRECTORY","Officially listed on the Mesquite tester PDF","2026-04-04"
"mesquite-brooks-irrigation","Brooks Irrigation & Backflow","utility","mesquite-water","PUBLIC","Official Mesquite registered tester for irrigation and general assemblies","https://www.cityofmesquite.com/DocumentCenter/View/196/View-the-Backflow-Testers-List","817-475-8175","","","DIRECTORY","Officially listed on the Mesquite tester PDF","2026-04-04"
"mesquite-h2o-backflow","H2O Backflow Services","utility","mesquite-water","PUBLIC","Official Mesquite registered tester for general assemblies","https://www.cityofmesquite.com/DocumentCenter/View/196/View-the-Backflow-Testers-List","214-415-6551","","","DIRECTORY","Officially listed on the Mesquite tester PDF","2026-04-04"
"metro-fire-flow","Metro Fire Flow Utility Testing","utility","gptx-water","HOLD","Fire-line and campus assembly retest support","https://www.gptx.org/government/city-departments/public-health-environmental-quality/cross-connection-control-prevention","972-555-0179","ops@metrofireflow.example","https://metrofireflow.example","DIRECTORY","Directory listing for larger commercial sites","2026-04-04"
"modesto-aldrich-backflow","Aldrich Backflow Services","utility","modesto-water","PUBLIC","Official Modesto certified tester directory entry.","https://www.modestogov.com/BusinessDirectoryII.aspx?lngBusinessCategoryID=38","209-596-2805","aldrichbackflow@gmail.com","","DIRECTORY","Officially listed in Modesto's certified tester directory.","2026-04-05"
"modesto-backflow-prevention-specialists","Backflow Prevention Specialists, Inc.","utility","modesto-water","PUBLIC","Official Modesto certified tester directory entry.","https://www.modestogov.com/BusinessDirectoryII.aspx?lngBusinessCategoryID=38","800-464-3569","service@backflow-prevention.com","","DIRECTORY","Officially listed in Modesto's certified tester directory.","2026-04-05"
"modesto-cnc-backflow","C&C Backflow","utility","modesto-water","PUBLIC","Official Modesto certified tester directory entry.","https://www.modestogov.com/BusinessDirectoryII.aspx?lngBusinessCategoryID=38","209-695-8136","","","DIRECTORY","Officially listed in Modesto's certified tester directory.","2026-04-05"
"noco-1-backflow-pros","#1 Backflow Pros","utility","fort-collins-utilities|greeley-water","PUBLIC","Official tester listed on Greeley's certified tester PDF and Fort Collins' certified tester page for the Northern Colorado corridor.","https://greeleygov.com/docs/default-source/water/certified-backflow-testers.pdf","970-658-1170","robyn.1backflowpros@outlook.com","","DIRECTORY","Officially listed across Greeley and Fort Collins tester rosters.","2026-04-05"
"noco-ajs-backflow-testing","AJ's Backflow Testing","utility","fort-collins-utilities|greeley-water","PUBLIC","Official tester listed on Greeley's certified tester PDF and Fort Collins' certified tester page for the Northern Colorado corridor.","https://greeleygov.com/docs/default-source/water/certified-backflow-testers.pdf","970-352-3090","ajsbft@earthlink.net","","DIRECTORY","Officially listed across Greeley and Fort Collins tester rosters.","2026-04-05"
"one-flow-backflow-inc","One Flow Backflow Inc.","utility","irwd-backflow|san-diego-water","PUBLIC","Official tester listed on IRWD's district roster and on San Diego's approved tester list.","https://www.sandiego.gov/sites/default/files/backflowtesters.pdf","714-852-1213","service@oneflowbackflow.com","","DIRECTORY","Southern California tester profile grounded in IRWD and San Diego rosters.","2026-04-05"
"pasadena-arroyo-plumbing","Arroyo Plumbing","utility","pasadena-water","PUBLIC","Los Angeles County certified tester directory entry used for Pasadena routing.","https://publichealth.lacounty.gov/eh/docs/permit/certified-backflow-prevention-device-testers_contact.pdf","626-446-5117","info@arroyoplumbing.com","","DIRECTORY","County-certified tester directory entry used for Pasadena's find-a-tester route.","2026-04-05"
"pasadena-bavco","BAVCO","utility","pasadena-water|irwd-backflow|san-diego-water","PUBLIC","County-certified tester directory entry used for Pasadena routing and also listed on IRWD and San Diego official tester rosters.","https://www.irwd.com/images/pdf/services/Backflow/IRWD_BACKFLOW_TESTER_LIST_9_25_25.pdf","800-458-3492","service@bavco.com","https://www.bavco.com","DIRECTORY","Southern California tester profile grounded in county-certified and utility-published rosters.","2026-04-05"
"pasadena-gene-pira","Gene Pira Inc.","utility","pasadena-water","PUBLIC","Los Angeles County certified tester directory entry used for Pasadena routing.","https://publichealth.lacounty.gov/eh/docs/permit/certified-backflow-prevention-device-testers_contact.pdf","818-342-4744","gene@piratester.com","","DIRECTORY","County-certified tester directory entry used for Pasadena's find-a-tester route.","2026-04-05"
"patterson-premier-backflow","Premier Backflow & Plumbing","utility","patterson-water","PUBLIC","Official Patterson approved outside tester entry.","https://www.pattersonca.gov/681/Backflow-Prevention-Device-Annual-Test-P","209-597-1276","","","DIRECTORY","Officially listed on Patterson's approved outside tester table.","2026-04-05"
"patterson-same-day-backflow","Same Day Backflow","utility","patterson-water","PUBLIC","Official Patterson approved outside tester entry.","https://www.pattersonca.gov/681/Backflow-Prevention-Device-Annual-Test-P","209-986-3569","","","DIRECTORY","Officially listed on Patterson's approved outside tester table.","2026-04-05"
"phoenix-air-water","Air & Water Factor","utility","phoenix-water|mesa-water|avondale-water","PUBLIC","Official tester listed by Phoenix and also carried on Mesa and Avondale utility rosters for the metro cluster.","https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/trt/external/dsd_trt_pdf_00937.pdf","480-706-3333","","","DIRECTORY","Officially listed across multiple Phoenix-metro utility tester lists.","2026-04-05"
"phoenix-guardian","Guardian Industries LLC","utility","phoenix-water","PUBLIC","Official Phoenix tester list entry","https://www.phoenix.gov/content/dam/phoenix/pddsite/documents/trt/external/dsd_trt_pdf_00937.pdf","602-781-9913","","","DIRECTORY","Officially listed on the Phoenix tester PDF","2026-04-04"
"phoenix-western-backflow","Western Backflow Testing LLC","utility","phoenix-water|scottsdale-water","PUBLIC","Official tester listed by Phoenix and also present on Scottsdale's quarterly tester roster.","https://www.scottsdaleaz.gov/docs/default-source/scottsdaleaz/water/water-operations/backflow-testers.pdf?sfvrsn=debc7310_5","480-628-9724","","","DIRECTORY","Officially listed on Phoenix and Scottsdale tester lists.","2026-04-05"
"prescott-arizona-backflow-care","Arizona Backflow Care LLC","utility","prescott-water|prescott-valley-water","PUBLIC","Listed on Prescott's approved tester roster and Prescott Valley's public tester handout for the same regional footprint.","https://prescott-az.gov/wp-content/uploads/2025/10/WAT-List_of_Approved_Backflow_Prevention_Assembly_Testers-20251007.pdf","","","","DIRECTORY","Prescott-area tester profile grounded in public utility rosters.","2026-04-05"
"prescott-bw-fire-security","B&W Fire Security Systems","utility","prescott-water|prescott-valley-water","PUBLIC","Listed on Prescott's approved tester roster and Prescott Valley's public tester handout for the same regional footprint.","https://prescott-az.gov/wp-content/uploads/2025/10/WAT-List_of_Approved_Backflow_Prevention_Assembly_Testers-20251007.pdf","","","","DIRECTORY","Prescott-area tester profile grounded in public utility rosters.","2026-04-05"
"prescott-jr-holmes","JR Holmes Backflow Prevention","utility","prescott-water|scottsdale-water","PUBLIC","Official Prescott approved tester entry and also present on Scottsdale's utility tester list.","https://www.scottsdaleaz.gov/docs/default-source/scottsdaleaz/water/water-operations/backflow-testers.pdf?sfvrsn=debc7310_5","","","","DIRECTORY","Arizona tester profile grounded in Prescott and Scottsdale utility rosters.","2026-04-05"
"prescott-valley-service-1st","Service 1st Fire Protection","utility","prescott-valley-water","PUBLIC","Publicly listed in Prescott Valley's certified tester handout; the Town says the list is not an endorsement.","https://cms1files.revize.com/prescottvalleyaz/Documents/Departments/Utilities/Customer%20Accounts/Forms/Certified%20Backflow%20testers.pdf","","","","DIRECTORY","Listed in Prescott Valley's certified tester handout for the directory-only route.","2026-04-05"
"riverside-hovey-rooter","Hovey Rooter Service","utility","riverside-water","PUBLIC","Official Riverside approved backflow tester entry","https://www.riversideca.gov/utilities/sites/riversideca.gov.utilities/files/RPU%20Approved%20Backflow%20Tester%20List%206.3.25.pdf","951-367-7201","","","DIRECTORY","Officially listed on the Riverside approved tester PDF","2026-04-05"
"riverside-ramon-cabrera","Ramon Cabrera","utility","riverside-water","PUBLIC","Official Riverside approved backflow tester entry","https://www.riversideca.gov/utilities/sites/riversideca.gov.utilities/files/RPU%20Approved%20Backflow%20Tester%20List%206.3.25.pdf","951-707-8429","","","DIRECTORY","Officially listed on the Riverside approved tester PDF","2026-04-05"
"rr-1st-fp","1st FP Services","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential commercial and fire assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-956-3215","nick@1stpservices.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"rr-aaa-backflow","AAA Backflow Testing","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential commercial and fire assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-997-6000","jr@aaabackflowtx.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"rr-all-star","All-Star Inspections","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential commercial and fire assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-296-6263","Backflow@All-StarTexas.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"rr-bluebonnet","Bluebonnet Backflow","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential and commercial assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-835-2211","office@bluebonnetbackflow.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"rr-protech","ProTech Services","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential commercial and fire assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-968-1333","Info@protechtexas.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"rr-smart-earth","Smart Earth Backflow Testing","utility","round-rock-water","PUBLIC","Official Round Rock registered tester for residential and commercial assemblies","https://www.roundrocktexas.gov/wp-content/uploads/2023/05/List-of-Registered-Testers-5.10.23.pdf","512-694-1147","SmartEarthOffice@gmail.com","","DIRECTORY","Officially listed on the City of Round Rock tester PDF","2026-04-04"
"sacramento-aaa-backflow","AAA Backflow Prevention, Inc.","utility","sacramento-water","PUBLIC","Official Sacramento approved tester entry","https://www.cityofsacramento.gov/content/dam/portal/dou/utilities/water/documents/Backflow%20Tester%20List.pdf","","","","DIRECTORY","Officially listed on the Sacramento tester PDF","2026-04-05"
"sacramento-ameszee","Ameszee Test","utility","sacramento-water","PUBLIC","Official Sacramento County tester registry entry","https://emd.saccounty.gov/EC/Documents/testers-list.pdf","916-790-7112","ameszee@sbcglobal.net","","DIRECTORY","Officially listed on the Sacramento County tester PDF","2026-04-05"
"sacramento-perkins","Perkins Backflow Testing","utility","sacramento-water","PUBLIC","Official Sacramento approved tester entry","https://www.cityofsacramento.gov/content/dam/portal/dou/utilities/water/documents/Backflow%20Tester%20List.pdf","916-364-8245","t1perkins@comcast.net","","DIRECTORY","Officially listed on the Sacramento tester PDF","2026-04-05"
"san-diego-backflow-testing","San Diego Backflow Testing","utility","san-diego-water","PUBLIC","Official City of San Diego approved tester entry from the 2026 tester list.","https://www.sandiego.gov/sites/default/files/backflowtesters.pdf","877-363-8378","","","DIRECTORY","Officially listed on San Diego's approved tester PDF.","2026-04-05"
"san-diego-bernard-clarke","Bernard Clarke","utility","san-diego-water","PUBLIC","Official San Diego approved tester entry","https://www.sandiego.gov/sites/default/files/backflowtesters.pdf","661-294-0901","","","DIRECTORY","Officially listed on the San Diego tester PDF","2026-04-04"
"san-diego-cal-oso","Cal-Oso Backflow Services","utility","san-diego-water","PUBLIC","Official City of San Diego approved tester entry from the 2026 tester list.","https://www.sandiego.gov/sites/default/files/backflowtesters.pdf","951-434-4756","","","DIRECTORY","Officially listed on San Diego's approved tester PDF.","2026-04-05"
"santa-rosa-abp-backflow","ABP Backflow Inc.","utility","santa-rosa-water","PUBLIC","Official Santa Rosa authorized tester entry","https://www.srcity.org/DocumentCenter/View/45218/Certified-Testers-Authorized-to-Test-in-Santa-Rosa-2025-PDF","888-356-7761","service@abpbackflow.com","","DIRECTORY","Officially listed on Santa Rosa's authorized tester PDF.","2026-04-05"
"santa-rosa-checkrite","Checkrite Backflow Services","utility","santa-rosa-water","PUBLIC","Official Santa Rosa authorized tester entry","https://www.srcity.org/DocumentCenter/View/45218/Certified-Testers-Authorized-to-Test-in-Santa-Rosa-2025-PDF","707-575-5296","","","DIRECTORY","Officially listed on Santa Rosa's authorized tester PDF.","2026-04-05"
"santa-rosa-jv-plumbing","JV Plumbing & Backflow","utility","santa-rosa-water","PUBLIC","Official Santa Rosa authorized tester entry","https://www.srcity.org/DocumentCenter/View/45218/Certified-Testers-Authorized-to-Test-in-Santa-Rosa-2025-PDF","707-799-2692","","","DIRECTORY","Officially listed on Santa Rosa's authorized tester PDF.","2026-04-05"
"sarasota-advanced-plumbing","ADVANCED PLUMBING SOLUTIONS","utility","sarasota-county-utilities","PUBLIC","Official Sarasota County approved contractor entry","https://www.scgov.net/home/showpublisheddocument/72849/639008742293670000","941-284-4739","bf@testsrq.com","","DIRECTORY","Officially listed on the Sarasota County approved contractor PDF","2026-04-05"
"sarasota-aqua-plumbing","AQUA PLUMBING & AIR SERVICES","utility","sarasota-county-utilities","PUBLIC","Official Sarasota County approved contractor entry","https://www.scgov.net/home/showpublisheddocument/72849/639008742293670000","941-366-7676","plumbing@aquaplumbing.com","","DIRECTORY","Officially listed on the Sarasota County approved contractor PDF","2026-04-05"
